X,Y,Label
73.73267558686288,25.2498523374377,0
73.73282542409387,25.23540661269279,0
73.73301255818353,25.217349415877074,0
73.7331995118829,25.19929217365667,1
73.73333027220256,25.18665207709961,1
73.73338628530834,25.181234886055872,1
73.7334236183708,25.1776234230922,1
73.73349826288046,25.1704004917229,1
73.7335915279986,25.161371817309618,1
73.73361017562085,25.159566081066984,1
73.73377792322677,25.14331443448906,0
73.73396413854067,25.12525700636345,0
73.73415017405604,25.107199532957125,0
73.73424312442538,25.098170779281308,0
73.73426170911003,25.096365027188718,0
73.73431745238761,25.090947768196553,0
73.73442889045954,25.080113237999587,0
73.734503146604,25.072890208823992,1
73.73454026390792,25.069278691523497,1
73.73470720296571,25.05302684129753,0
73.734892520441,25.034969187012084,1
73.73505915293046,25.01871725954375,1
73.73507765869404,25.01691148756788,1
73.73513316523878,25.011494168932312,1
73.73531807067452,24.99343641081825,0
73.735355030283,24.98982485378235,0
73.73542892802861,24.982601734299028,0
73.73555818021532,24.969961257845338,0
73.73561354718588,24.964543904032663,0
73.73576111378797,24.950097607372776,0
73.73577955157126,24.948291818263062,0
73.73581642177776,24.944680238692424,0
73.73596383115306,24.93023390239726,0
73.73598224928864,24.928428108334344,0
73.73618473096414,24.90856434393828,0
73.73629508450965,24.89772954041297,0
73.73633185475535,24.894117935639798,0
73.73642374916368,24.885088915837937,0
73.73647886441492,24.879671498561976,0
73.73660740428917,24.867030842520727,0
73.73664411393142,24.863419222464792,0
73.73668081644814,24.859807600611823,0
73.73686422218103,24.84174946439829,0
73.73688255296236,24.839943648307234,0
73.73691920918544,24.836332014778307,0
73.73695585828982,24.832720379453832,0
73.73697418017278,24.830914561118316,0
73.73710238353843,24.818273820204237,0
73.7372122027729,24.807438881923282,0
73.73723049975546,24.805633057306576,0
73.73724879496025,24.8038272322414,0
73.73730366990928,24.798409754355276,0
73.73739509261316,24.789380615577947,0
73.73750474122676,24.77854563425317,0
73.73759606622879,24.769516470826158,0
73.73768734684343,24.76048729619967,0
73.73777858308475,24.7514581103768,0
73.73779682500947,24.749652271868936,0
73.73796092250382,24.733399705154262,0
73.73812487636536,24.717147102193298,0
73.73814308459842,24.715341255183212,0
73.73830687896404,24.699088611969724,0
73.73832506948094,24.69728276048838,0
73.7384159955027,24.688253496377264,0
73.73850687726352,24.679224221094493,0
73.73857955081368,24.672000792826733,0
73.73868850805825,24.661165637026272,0
73.73885182454133,24.644912873188808,0
73.73886996197696,24.6431070083085,0
73.73890623154541,24.63949527720919,0
73.73901499783632,24.628660073203264,0
73.73905123913144,24.625048334965957,0
73.73919613365976,24.610601364178738,0
73.73923233963328,24.606989617023423,0
73.73928663535322,24.601571992947367,0
73.73941326359393,24.5889308545057,0
73.73946750637323,24.583513217061938,0
73.73948558377158,24.581707337023126,0
73.7395940111247,24.570872047437632,0
73.73970237500306,24.560036741822948,0
73.73977458233674,24.552813195844042,0
73.73984676147718,24.545589642745032,0
73.73995497734109,24.534754299749796,0
73.73997300715436,24.532948407693787,0
73.74000906149847,24.52933662224761,0
73.74009916654953,24.52030715085064,0
73.74013519624862,24.51669535917977,0
73.74029724279411,24.500442274660514,0
73.74031523917003,24.498636374158846,0
73.74045914687149,24.4841891541542,0
73.74053105852978,24.47696553349363,0
73.74060294206919,24.46974190572968,0
73.7406388732965,24.466130089184446,0
73.7408004768722,24.449876892765094,0
73.74087225502863,24.442653238377723,0
73.74099779922622,24.430011826126528,0
73.74101572709245,24.428205908317192,0
73.74115908687106,24.413758549886303,0
73.741212817851,24.408340783163094,0
73.74132023247614,24.397505237756025,0
73.74135602332932,24.393893385743834,0
73.74149911665597,24.37944595998459,0
73.74167782568651,24.36138663795196,0
73.74169568696057,24.3595807033153,0
73.74176711455502,24.352356960345514,0
73.74185635967724,24.34332727168315,0
73.74187420345334,24.341521332624243,0
73.74189204548023,24.339715393123253,0
73.74201689070026,24.32707380423999,0
73.74205254502658,24.323461917724572,0
73.7420881923605,24.319850029441806,0
73.7422485188554,24.303596510303873,0
73.74228412774666,24.29998461230431,0
73.74233752798364,24.294566761993714,0
73.74244428130885,24.28373104945445,0
73.74251541527676,24.276507232268937,0
73.74258652132032,24.269283408024492,0
73.74263983253182,24.2638655352097,0
73.74269312804275,24.258447658425844,0
73.74276416430591,24.2512238165411,0
73.74290615313915,24.236776111613302,0
73.7429238938992,24.234970146514232,0
73.74297710572314,24.229552248573476,0
73.74310120566501,24.216910471294344,0
73.74313664711443,24.213298530965318,0
73.7432783432618,24.198850752039085,0
73.74329604744634,24.197044777692575,0
73.74340223600692,24.186208922372842,0
73.74345530679774,24.18079098877363,0
73.74356140141509,24.169955109699945,0
73.74364976577601,24.16092519837993,0
73.7438087121193,24.14467133031292,0
73.74382636413581,24.142865342775075,0
73.74386166295717,24.13925336638145,0
73.74387930976222,24.13744737752572,0
73.74400278876934,24.124805443238174,0
73.74403805285834,24.121193458061164,0
73.7441085602056,24.113969482439146,0
73.74412618270328,24.112163487436277,0
73.74417903978417,24.10674549979445,0
73.74421426916237,24.10313350583911,0
73.74433751734244,24.090491513175646,0
73.74440790672033,24.083267507718457,0
73.74453102138771,24.070625481287596,0
73.74456618140866,24.06701346979075,0
73.7446013344986,24.063401456540866,0
73.74470675219092,24.052565406275022,0
73.74477699601316,24.045341364002972,0
73.74479455263976,24.04353535234002,0
